electrode_code,channels,records,median_50hz_excess_db,mean_50hz_excess_db,candidate_rate,severe_rate,harmonic_100hz_rate
unparsed,1,1,57.37361284466277,57.37361284466277,1.0,1.0,1.0
P,56,7,25.070039417974172,26.467323178657804,1.0,0.9821428571428571,0.16071428571428573
N,90,13,24.47808534170504,23.097644739058286,0.8777777777777778,0.7222222222222222,0.16666666666666666
EL,26,2,21.19331667741046,21.636889147870093,1.0,0.6538461538461539,0.23076923076923078
R,256,16,20.564513241464446,15.09326877523986,0.63671875,0.51171875,0.046875
BL,24,2,20.19109068073088,19.518199692613084,0.9583333333333334,0.5833333333333334,0.0
S,32,2,18.502637453824867,18.43311850748435,0.90625,0.34375,0.03125
PO,160,10,15.507557367586832,16.443847021401915,0.5375,0.43125,0.31875
L,73,9,13.65388337491927,16.1457732054163,0.6712328767123288,0.3013698630136986,0.0821917808219178
O,25,5,13.087086042857543,14.481131324929851,0.88,0.12,0.0
A,142,11,10.420192520179178,11.921970333253098,0.5211267605633803,0.30985915492957744,0.1056338028169014
TO,13,1,10.175991250998964,9.908699644361281,0.5384615384615384,0.07692307692307693,0.0
Q,13,1,4.5074932404244965,5.771221036600348,0.07692307692307693,0.0,0.0
B,189,16,4.304024079799371,7.419818819112751,0.3492063492063492,0.07407407407407407,0.026455026455026454
K,63,8,3.7797817096135686,6.188499393742298,0.31746031746031744,0.0,0.0
mPO,16,1,3.73299366716969,5.112463216859941,0.25,0.0,0.0
M,255,23,2.3961263308783227,9.506709200749352,0.3411764705882353,0.25098039215686274,0.06666666666666667
AC,256,16,2.341475086251676,13.49779848020009,0.45703125,0.4375,0.14453125
J,161,16,2.0609494746183157,4.226484573776647,0.18012422360248448,0.018633540372670808,0.006211180124223602
H,189,16,1.714193686438663,4.566886078269267,0.164021164021164,0.0582010582010582,0.037037037037037035
C,28,2,1.6848718822967033,1.7028848550474416,0.0,0.0,0.0
T,161,14,1.6848286414673799,4.515448514174672,0.11801242236024845,0.09937888198757763,0.0
D,24,2,1.376379249292721,2.121904045356652,0.0,0.0,0.041666666666666664
G,163,13,1.2373020313452114,1.33031565844858,0.0,0.0,0.0
E,128,10,1.0995515876355446,1.5459503293258603,0.0,0.0,0.0625
I,180,16,1.095248022548561,3.351048713733272,0.12222222222222222,0.06111111111111111,0.016666666666666666
F,155,13,1.016914714658035,1.2077937798480198,0.0,0.0,0.0
aMC,104,8,0.9697558411214935,0.9932679501126376,0.0,0.0,0.0
U,82,10,0.6327089847762837,4.083636620811247,0.17073170731707318,0.08536585365853659,0.036585365853658534
PC,58,6,0.5944431555070172,3.5470078726393446,0.15517241379310345,0.017241379310344827,0.0
pMC,104,8,0.28162630100087305,0.27329541590052975,0.0,0.0,0.0
DC,384,24,0.024381795969184054,0.2592670998174886,0.005208333333333333,0.0026041666666666665,0.0026041666666666665
