feature,positive_records,median_abs_timing_error_seconds,mean_abs_timing_error_seconds,median_signed_timing_error_seconds,within_0_5_seconds_rate,within_1_second_rate,median_early_contrast,min_early_contrast,positive_contrast_rate,mean_top10_overlap,median_top10_overlap,median_top10_enrichment,timing_rank,contrast_rank,top10_rank,exploratory_rank_score
low_frequency_suppression,5,0.28159100000000237,1.0410018000000005,0.28159100000000237,0.6,0.6,0.3714700937271118,-0.0361783504486084,0.8,1.0,1.0,-0.18529939651489258,1.0,1.0,10.0,4.0
high_gamma_power,5,0.4713119999999975,1.1295265999999995,0.4713119999999975,0.6,0.6,-0.12000018358230591,-0.6290840953588486,0.4,3.0,3.0,0.7839670181274414,2.0,10.0,1.5,4.5
high_low_ratio,5,1.1648119999999995,1.2410018000000005,1.1648119999999995,0.4,0.4,0.15805578231811523,-0.2820730209350586,0.6,2.0,3.0,-0.025660395622253418,9.0,3.0,4.0,5.333333333333333
multiband_fast_activity,5,1.5011849999999995,1.8545265999999994,1.5011849999999995,0.0,0.0,-0.011359214782714844,-0.27597163897007704,0.2,3.0,2.0,0.24611830711364746,10.0,8.0,1.5,6.5
spectral_entropy_change,5,0.5212670000000017,0.7630334000000001,0.2898119999999995,0.4,0.6,-0.02926456928253174,-0.183771014213562,0.4,1.0,1.0,-0.34272778034210205,3.0,9.0,10.0,7.333333333333333
beta_power,5,0.6536880000000025,1.1155278000000006,0.1037329999999983,0.2,0.6,-0.2191827893257141,-0.48252934217453003,0.0,1.4,1.0,0.2015317678451538,4.0,12.0,8.0,8.0
physiology_composite,5,2.0398119999999995,1.4410018000000004,2.0398119999999995,0.4,0.4,0.05125629901885986,-0.19984811544418335,0.6,2.0,2.0,-0.06958234310150146,15.0,5.0,4.0,8.0
kurtosis,5,1.1565910000000024,1.3500770000000006,1.1565910000000024,0.0,0.4,0.21134305000305176,0.017279386520385742,1.0,0.6,1.0,-0.33671271800994873,8.0,2.0,15.5,8.5
ripple_power,5,0.6648119999999995,0.8630334000000002,0.6648119999999995,0.4,0.6,-0.13226602599024773,-0.3741358071565628,0.2,1.0,0.0,-0.08735573291778564,5.0,11.0,10.0,8.666666666666666
rms_change,5,0.7712670000000017,1.4740346000000017,-0.49881500000000045,0.2,0.6,0.1322343349456787,-0.19563770294189453,0.6,0.6,0.0,0.0021758079528808594,6.5,4.0,15.5,8.666666666666666
fast_suppression_joint,5,1.8761849999999995,1.4380334000000001,1.8761849999999995,0.2,0.4,0.04650118947029114,-0.27357763051986694,0.6,1.8,2.0,0.18121957778930664,14.0,6.0,6.5,8.833333333333334
low_gamma_power,5,1.7815910000000024,1.9295265999999995,1.7815910000000024,0.0,0.0,-0.23704949021339417,-0.2626577615737915,0.4,2.0,1.0,0.021415412425994873,12.0,13.0,4.0,9.666666666666666
line_length,5,1.7815910000000024,1.5290525999999995,1.7815910000000024,0.2,0.4,-0.37953346967697144,-0.45748093724250793,0.2,1.8,1.0,-0.28305405378341675,12.0,16.0,6.5,11.5
rhythmicity,5,2.2898119999999995,2.2545265999999997,2.2898119999999995,0.0,0.0,0.00775754451751709,-0.23506754636764526,0.6,0.8,0.0,0.07664757966995239,17.0,7.0,13.0,12.333333333333334
teager_energy,5,1.7815910000000024,1.5655278000000006,1.7815910000000024,0.2,0.4,-0.36622709035873413,-0.6977490186691284,0.0,0.8,0.0,-0.07533365488052368,12.0,14.0,13.0,13.0
spectral_centroid,5,0.7712670000000017,1.124508600000001,0.28159100000000237,0.4,0.6,-0.5475286245346069,-0.7987775802612305,0.4,0.4,0.0,-0.5837900638580322,6.5,17.0,17.0,13.5
fast_ripple_power,5,2.1261849999999995,1.6410018000000004,2.1261849999999995,0.2,0.4,-0.3748648017644882,-0.6096874475479126,0.2,0.8,1.0,-0.26390594244003296,16.0,15.0,13.0,14.666666666666666
