feature,feature_scope,positive_records,median_abs_timing_error_seconds,mean_abs_timing_error_seconds,median_signed_timing_error_seconds,within_0_5_seconds_rate,within_1_second_rate,median_early_contrast,min_early_contrast,positive_contrast_rate,mean_top10_overlap,median_top10_overlap,median_top10_enrichment,timing_rank,contrast_rank,top10_rank,exploratory_rank_score,hit_rank,within_1_second_rank,mean_timing_rank,direction_rank,onset_alignment_rank_score,feature_family
lagged_outflow,channel_propagation,5,0.28159100000000237,0.3386017999999996,0.28159100000000237,0.6,1.0,0.30408287048339844,0.29994893074035645,1.0,0.6,0.0,-0.16657114028930664,2.0,6.0,20.0,9.333333333333334,4.5,2.0,1.5,2.5,2.5,propagation
mean_lagged_connectivity,global_propagation,5,0.28159100000000237,0.3386017999999996,0.28159100000000237,0.6,1.0,0.48817985132336617,-0.22461952455341816,0.6,,,,2.0,1.0,,1.5,4.5,2.0,1.5,10.5,4.1,propagation
propagation_participation,channel_propagation,5,0.2898119999999995,0.44950860000000115,0.25118499999999955,0.6,1.0,0.03383445739746094,-14.864490538835526,0.6,0.4,0.0,-1.808206558227539,4.5,14.0,24.0,14.166666666666666,4.5,2.0,3.0,10.5,4.9,propagation
recruitment_persistence,channel_propagation,5,0.4148119999999995,0.6380334000000001,0.28159100000000237,0.6,0.8,0.3062852621078491,-0.1672460436820984,0.6,1.0,0.0,-0.3006424307823181,7.0,5.0,11.0,7.666666666666667,4.5,6.5,4.0,10.5,6.5,propagation
low_frequency_suppression,channel_local,5,0.28159100000000237,1.0410018000000005,0.28159100000000237,0.6,0.6,0.3714700937271118,-0.0361783504486084,0.8,1.0,1.0,-0.18529939651489258,2.0,3.0,11.0,5.333333333333333,4.5,13.5,11.0,5.0,7.2,round1
recruitment_fraction_slope,global_propagation,5,0.2898119999999995,0.7880334000000001,0.28159100000000237,0.6,0.8,0.0,-0.6744908094406128,0.4,,,,4.5,17.5,,11.0,4.5,6.5,6.0,21.0,8.5,propagation
network_density,global_propagation,5,0.4036880000000025,0.7996030000000008,-0.08518800000000049,0.6,0.8,-0.0027814023196697235,-0.33518490195274353,0.4,,,,6.0,20.0,,13.0,4.5,6.5,7.0,21.0,9.0,propagation
propagation_front,global_propagation,5,0.5212670000000017,1.0125594000000002,0.28159100000000237,0.4,0.8,0.0,-1.348981499671936,0.4,,,,10.0,17.5,,13.75,12.5,6.5,9.0,21.0,11.8,propagation
recruited_fraction_2z,global_propagation,5,0.5212670000000017,1.0375594000000004,0.28159100000000237,0.4,0.8,0.0,-0.674490749835968,0.4,,,,10.0,17.5,,13.75,12.5,6.5,10.0,21.0,12.0,propagation
high_gamma_power,channel_local,5,0.4713119999999975,1.1295265999999995,0.4713119999999975,0.6,0.6,-0.12000018358230591,-0.6290840953588486,0.4,3.0,3.0,0.7839670181274414,8.0,24.0,1.5,11.166666666666666,4.5,13.5,14.0,21.0,12.2,round1
spectral_entropy_change,channel_local,5,0.5212670000000017,0.7630334000000001,0.2898119999999995,0.4,0.6,-0.02926456928253174,-0.183771014213562,0.4,1.0,1.0,-0.34272778034210205,10.0,23.0,11.0,14.666666666666666,12.5,13.5,5.0,21.0,12.4,round1
spectral_centroid,channel_local,5,0.7712670000000017,1.124508600000001,0.28159100000000237,0.4,0.6,-0.5475286245346069,-0.7987775802612305,0.4,0.4,0.0,-0.5837900638580322,15.0,33.0,24.0,24.0,12.5,13.5,13.0,21.0,15.0,round1
ripple_power,channel_local,5,0.6648119999999995,0.8630334000000002,0.6648119999999995,0.4,0.6,-0.13226602599024773,-0.3741358071565628,0.2,1.0,0.0,-0.08735573291778564,13.0,25.0,11.0,16.333333333333332,12.5,13.5,8.0,28.5,15.1,round1
recruitment_dispersion,global_propagation,5,0.7712670000000017,1.2721086000000004,0.28159100000000237,0.2,0.6,0.04057914763689041,-0.6497416794300079,0.6,,,,15.0,13.0,,14.0,21.0,13.5,16.0,10.5,15.2,propagation
high_low_ratio,channel_local,5,1.1648119999999995,1.2410018000000005,1.1648119999999995,0.4,0.4,0.15805578231811523,-0.2820730209350586,0.6,2.0,3.0,-0.025660395622253418,19.0,9.0,4.0,10.666666666666666,12.5,23.0,15.0,10.5,16.0,round1
rms_change,channel_local,5,0.7712670000000017,1.4740346000000017,-0.49881500000000045,0.2,0.6,0.1322343349456787,-0.19563770294189453,0.6,0.6,0.0,0.0021758079528808594,15.0,10.0,20.0,15.0,21.0,13.5,22.0,10.5,16.4,round1
beta_power,channel_local,5,0.6536880000000025,1.1155278000000006,0.1037329999999983,0.2,0.6,-0.2191827893257141,-0.48252934217453003,0.0,1.4,1.0,0.2015317678451538,12.0,27.0,8.0,15.666666666666666,21.0,13.5,12.0,32.0,18.1,round1
kurtosis,channel_local,5,1.1565910000000024,1.3500770000000006,1.1565910000000024,0.0,0.4,0.21134305000305176,0.017279386520385742,1.0,0.6,1.0,-0.33671271800994873,18.0,8.0,20.0,15.333333333333334,29.5,23.0,19.0,2.5,18.4,round1
physiology_composite,channel_local,5,2.0398119999999995,1.4410018000000004,2.0398119999999995,0.4,0.4,0.05125629901885986,-0.19984811544418335,0.6,2.0,2.0,-0.06958234310150146,29.5,11.0,4.0,14.833333333333334,12.5,23.0,21.0,10.5,19.3,round1
net_lagged_outflow,channel_propagation,5,1.4713119999999975,1.3386017999999997,1.4713119999999975,0.0,0.2,0.463642954826355,0.25640869140625,1.0,0.4,0.0,-0.2643810510635376,22.0,2.0,24.0,16.0,29.5,29.0,18.0,2.5,20.2,propagation
largest_component_fraction,global_propagation,5,1.2213119999999975,1.5759653999999987,1.2213119999999975,0.2,0.4,0.337245374917984,-1.011738657951355,0.6,,,,20.0,4.0,,12.0,21.0,23.0,27.0,10.5,20.3,propagation
recruited_fraction_3z,global_propagation,5,0.9601880000000005,1.3081098000000018,-0.9036880000000025,0.0,0.8,0.0,0.0,0.0,,,,17.0,17.5,,17.25,29.5,6.5,17.0,32.0,20.4,propagation
fast_suppression_joint,channel_local,5,1.8761849999999995,1.4380334000000001,1.8761849999999995,0.2,0.4,0.04650118947029114,-0.27357763051986694,0.6,1.8,2.0,0.18121957778930664,28.0,12.0,6.5,15.5,21.0,23.0,20.0,10.5,20.5,round1
recruitment_change_rate,channel_propagation,5,1.6565910000000024,1.4790525999999997,1.6565910000000024,0.4,0.4,-0.013097763061523438,-0.4479595422744751,0.4,1.0,1.0,-0.1710500717163086,24.0,22.0,11.0,19.0,12.5,23.0,23.0,21.0,20.7,propagation
coactivation_strength,channel_propagation,5,2.2287329999999983,1.7790525999999995,2.2287329999999983,0.2,0.4,0.22939884662628174,0.17943143844604492,1.0,0.6,0.0,-0.11699283123016357,32.0,7.0,20.0,19.666666666666668,21.0,23.0,29.0,2.5,21.5,propagation
early_recruitment_lead,channel_propagation,5,1.2287329999999983,1.4918901999999985,1.2287329999999983,0.0,0.4,-0.4164106845855713,-1.250814437866211,0.4,0.6,0.0,0.6974291801452637,21.0,32.0,20.0,24.333333333333332,29.5,23.0,24.0,21.0,23.7,propagation
line_length,channel_local,5,1.7815910000000024,1.5290525999999995,1.7815910000000024,0.2,0.4,-0.37953346967697144,-0.45748093724250793,0.2,1.8,1.0,-0.28305405378341675,26.0,31.0,6.5,21.166666666666668,21.0,23.0,25.0,28.5,24.7,round1
teager_energy,channel_local,5,1.7815910000000024,1.5655278000000006,1.7815910000000024,0.2,0.4,-0.36622709035873413,-0.6977490186691284,0.0,0.8,0.0,-0.07533365488052368,26.0,29.0,15.5,23.5,21.0,23.0,26.0,32.0,25.6,round1
fast_ripple_power,channel_local,5,2.1261849999999995,1.6410018000000004,2.1261849999999995,0.2,0.4,-0.3748648017644882,-0.6096874475479126,0.2,0.8,1.0,-0.26390594244003296,31.0,30.0,15.5,25.5,21.0,23.0,28.0,28.5,26.3,round1
rhythmicity,channel_local,5,2.2898119999999995,2.2545265999999997,2.2898119999999995,0.0,0.0,0.00775754451751709,-0.23506754636764526,0.6,0.8,0.0,0.07664757966995239,33.0,15.0,15.5,21.166666666666668,29.5,31.5,33.0,10.5,27.5,round1
low_gamma_power,channel_local,5,1.7815910000000024,1.9295265999999995,1.7815910000000024,0.0,0.0,-0.23704949021339417,-0.2626577615737915,0.4,2.0,1.0,0.021415412425994873,26.0,28.0,4.0,19.333333333333332,29.5,31.5,31.0,21.0,27.8,round1
multiband_fast_activity,channel_local,5,1.5011849999999995,1.8545265999999994,1.5011849999999995,0.0,0.0,-0.011359214782714844,-0.27597163897007704,0.2,3.0,2.0,0.24611830711364746,23.0,21.0,1.5,15.166666666666666,29.5,31.5,30.0,28.5,28.5,round1
recruitment_consensus,channel_propagation,5,2.0398119999999995,2.1295265999999993,2.0398119999999995,0.0,0.0,-0.14533066749572754,-0.9143656492233276,0.4,0.8,1.0,-0.39545536041259766,29.5,26.0,15.5,23.666666666666668,29.5,31.5,32.0,21.0,28.7,propagation
