sample_id,split,label,onset_time,channels,allocated_samples,valid_samples,sampling_rate_hz,duration_seconds,dtype,finite_rate,zero_rate,minimum,maximum,mean,std,channel_ids_unique,raw_indices_unique,prefix_bytes,standard_numpy_compatible,file_size_bytes
test_000322,test,,,171,120000,120000,2000.0000000000002,59.99999999999999,float32,1.0,0.009196881091617934,-2392.37353515625,1192.9718017578125,-18.148727310019172,105.99524570100876,True,True,0,True,82090508
test_000489,test,,,169,120000,120000,2000.0000000000002,59.99999999999999,float32,1.0,0.009674802761341222,-62270.99609375,30402.919921875,-353.0227325654481,4611.901422607016,True,True,82089472,False,163219200
test_000610,test,,,171,120000,120000,2000.0000000000002,59.99999999999999,float32,1.0,0.010014619883040936,-2123.232421875,849.1236572265625,-24.596406874259706,120.61074550653115,True,True,81128704,False,163219212
test_000801,test,,,148,120000,120000,2000.0,60.0,float32,1.0,0.020200844594594595,-2940.0390625,3199.902099609375,-22.505058617071704,240.09529670082006,True,True,82089472,False,153138192
train_000001,train,0,0.0,179,120000,120000,2000.0,60.0,float32,1.0,0.012659962756052141,-732.5999755859375,366.30029296875,-11.678460004451699,93.83280462198302,True,True,71040768,False,156971696
train_000012,train,0,0.0,140,120000,120000,2000.0,60.0,float32,1.0,0.011769047619047618,-1577.9200439453125,1435.448974609375,-25.069464122442863,160.88787025717352,True,True,85920256,False,153128596
train_000027,train,1,13.843409,108,120000,120000,1999.9999999999998,60.00000000000001,float32,1.0,0.02203611111111111,-3141.110107421875,3199.902099609375,-31.33906232058803,263.4111059666735,True,True,67200768,False,119047572
train_000057,train,0,0.0,108,120000,120000,1999.9999999999998,60.00000000000001,float32,1.0,0.028286188271604937,-2560.9296875,1577.6368408203125,-33.93969372143869,173.44413117980034,True,True,51838976,False,103685780
train_000107,train,0,0.0,179,120000,120000,2000.0,60.0,float32,1.0,0.013017644320297951,-3200.0,2779.00341796875,-14.551942338138664,99.63308061474105,True,True,51838976,False,137769904
train_000119,train,0,0.0,140,120000,120000,2000.0,60.0,float32,1.0,0.004479285714285714,-739.9390869140625,742.9700317382812,-21.39943123451246,131.31515012063917,True,True,85900788,False,153109128
train_000128,train,1,39.771267,140,120000,120000,2000.0,60.0,float32,1.0,0.00409875,-1371.09033203125,1476.269287109375,-7.78288588647502,162.35987623894223,True,True,67200000,False,134408340
train_000160,train,0,0.0,179,120000,120000,2000.0,60.0,float32,1.0,0.012360474860335195,-732.5999755859375,366.30029296875,-10.303589497720681,91.02391673864587,True,True,67200768,False,153131696
train_000171,train,0,0.0,179,120000,120000,2000.0,60.0,float32,1.0,0.013048603351955308,-3200.0,2971.97216796875,-15.858718471422057,104.97682910772332,True,True,85920256,False,171851184
train_000200,train,0,0.0,179,120000,120000,2000.0,60.0,float32,1.0,0.012594925512104282,-732.5999755859375,366.30029296875,-2.6757052117277955,91.91406655088244,True,True,85919744,False,171850672
train_000205,train,0,0.0,108,120000,120000,1999.9999999999998,60.00000000000001,float32,1.0,0.00869783950617284,-1696.773193359375,1975.683349609375,-32.343223752979085,192.20296276111895,True,True,85920256,False,137767060
train_000211,train,1,14.210188,179,120000,120000,2000.0,60.0,float32,1.0,0.01213961824953445,-732.5999755859375,623.4375,-14.399911723014501,111.10980417353684,True,True,51840768,False,137771696
train_000231,train,0,0.0,140,120000,120000,2000.0,60.0,float32,1.0,0.011095178571428572,-1659.1700439453125,865.7234497070312,-20.732052714053015,158.56078891131537,True,True,85910272,False,153118612
train_000250,train,0,0.0,140,120000,120000,2000.0,60.0,float32,1.0,0.004394702380952381,-739.9390869140625,805.9571533203125,-21.35954119238937,130.44953340887074,True,True,67200768,False,134409108
train_000260,train,0,0.0,179,120000,120000,2000.0,60.0,float32,1.0,0.012253258845437617,-732.5999755859375,366.30029296875,-15.508196376919106,91.37620383148524,True,True,67200768,False,153131696
train_000274,train,1,17.873815,140,120000,120000,2000.0,60.0,float32,1.0,0.01106422619047619,-1627.3399658203125,1978.906005859375,-7.359946124972842,216.46265377622265,True,True,85920000,False,153128340
train_000295,train,0,0.0,108,120000,120000,1999.9999999999998,60.00000000000001,float32,1.0,0.009002854938271606,-3200.0,3199.902099609375,-35.77584765161055,175.1803694381303,True,True,67200768,False,119047572
train_000326,train,0,0.0,179,120000,120000,2000.0,60.0,float32,1.0,0.012582588454376164,-732.5999755859375,366.30029296875,-7.026279149291516,92.88400726738143,True,True,51838976,False,137769904
train_000430,train,1,32.403688,140,120000,120000,2000.0,60.0,float32,1.0,0.010933333333333333,-1433.8824462890625,1789.0625,-13.57839101297509,187.1675266557606,True,True,85920256,False,153128596
train_000440,train,0,0.0,108,120000,120000,1999.9999999999998,60.00000000000001,float32,1.0,0.021252932098765432,-1810.83642578125,2482.03125,-38.74904251440501,193.53190501294395,True,True,67200768,False,119047572
